,index,name,inchikey,formula,ionization,precursormz,rank
405,405,benzoin,ISAOCJYIOMOJEB-UHFFFAOYSA-N,C18H23O2Si1N1,[M+H]+,314.15573,0
406,406,N-acetyl-D-glucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,C21H50N2O6Si4,[M+H]+,539.28247,4
407,407,phlorobenzophenone,CPEXFJVZFNYXGU-UHFFFAOYSA-N,C22H34O4Si3,[M+H]+,447.18384,8
408,408,serotonin,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C19H36N2O1Si3,[M+H]+,393.2204,4
409,409,(water loss)N-acetyl-L-serine,JJIHLJJYMXLCOY-BYPYZUCNSA-N,C11H23N1O3Si2,[M+H]+,274.09048,no correct formula
410,410,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C7H14N2O2Si1,[M+H]+,187.04227,no correct formula
411,411,(water loss)N-acetyl-L-serine,JJIHLJJYMXLCOY-BYPYZUCNSA-N,C5H7N1O3,[M+H]+,130.03207,no correct formula
412,412,Î²-cyano-L-alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,C10H22N2O2Si2,[M+H]+,259.12881,0
413,413,p-anisic acid,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,C11H16O3Si1,[M+H]+,225.09436,0
414,414,2-(4-hydroxyphenyl)ethanolÂ,YCCILVSKPBXVIP-UHFFFAOYSA-N,C14H26O2Si2,[M+H]+,283.15393,0
415,415,3-(2-hydroxyphenyl)propanoic acid,CJBDUOMQLFKVQC-UHFFFAOYSA-N,C15H26O3Si2,[M]+,310.14148,no correct formula
416,416,4-quinolinecarboxylic acid,VQMSRUREDGBWKT-UHFFFAOYSA-N,C13H15N1O2Si1,[M+H]+,246.09465,0
417,417,"5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,C12H18N2Si1,[M+H]+,219.13124,0
418,418,homogentisic acid,IGMNYECMUMZDDF-UHFFFAOYSA-N,C17H32O4Si3,[M]+,384.16049,8
419,419,benzylsuccinic acid,GTOFKXZQQDSVFH-UHFFFAOYSA-N,C17H28O4Si2,[M+H]+,353.15967,0
420,420,(water loss)indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C13H16N2Si1,[M+H]+,229.11557,0
421,421,indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C16H26N2O1Si2,[M+H]+,319.16577,1
422,422,dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,C21H37N1O3Si1,[M+H]+,380.26068,0
423,423,sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C6H15N1O2Si1,[M+H]+,162.09476,0
424,424,sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,C9H23N1O2Si2,[M+H]+,234.13419,0
425,425,nonanoic acid,FBUKVWPVBMHYJY-UHFFFAOYSA-N,C9H18O2,[M+H]+,159.14918,no correct formula
426,426,(water loss)2'-deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C9H11N3O3,[M+H]+,210.13107,no correct formula
427,427,nonanoic acid,FBUKVWPVBMHYJY-UHFFFAOYSA-N,C12H26O2Si1,[M+H]+,231.1776,0
428,428,(water loss)2'-deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C12H19N3O3Si1,[M+H]+,282.17004,no correct formula
429,429,cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,C10H21N3O1Si2,[M+H]+,256.12991,0
430,430,4-isopropylbenzoic acid,CKMXAIVXVKGGFM-UHFFFAOYSA-N,C13H20O2Si1,[M+H]+,237.13077,0
431,431,4-isopropylbenzoic acid,CKMXAIVXVKGGFM-UHFFFAOYSA-N,C13H20O2Si1,[M+H]+,237.13062,0
432,432,tropic acid,JACRWUWPXAESPB-UHFFFAOYSA-N,C15H26O3Si2,[M+H]+,311.14948,0
433,433,N-formyl-L-methionine,PYUSHNKNPOHWEZ-YFKPBYRVSA-N,C9H19N1O3S1Si1,[M+H]+,250.0927,1
434,434,DL-4-hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,C8H8O4,[M-H]+,167.14314,no correct formula
435,435,DL-4-hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,C17H32O4Si3,[M+H]+,385.168,2
436,436,DL-4-hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,C17H32O4Si3,[M+H]+,385.16653,2
437,437,2-hydroxyhexanoic acid,NYHNVHGFPZAZGA-UHFFFAOYSA-N,C6H12O3,[M-H]+,131.08862,no correct formula
438,438,propyleneglycol,DNIAPMSPPWPWGF-UHFFFAOYSA-N,C9H24O2Si2,[M-H]+,219.12296,no correct formula
439,439,propyleneglycol,DNIAPMSPPWPWGF-UHFFFAOYSA-N,C9H24O2Si2,[M-H]+,219.12289,no correct formula
440,440,2-ketoisovaleric acid,QHKABHOOEWYVLI-UHFFFAOYSA-M,C9H18O3Si1N1,[M+H]+,218.12016,no correct formula
441,441,2-ketoisovaleric acid,QHKABHOOEWYVLI-UHFFFAOYSA-M,C9H18O3Si1N1,[M+H]+,218.12018,no correct formula
442,442,2-ketoisovaleric acid,QHKABHOOEWYVLI-UHFFFAOYSA-M,C9H18O3Si1N1,[M+H]+,218.12016,no correct formula
443,443,2-ketoisovaleric acid,QHKABHOOEWYVLI-UHFFFAOYSA-M,C9H18O3Si1N1,[M+H]+,218.12019,no correct formula
444,444,(water loss)2-ketoisovaleric acid,QHKABHOOEWYVLI-UHFFFAOYSA-M,C9H16O2Si1N1,[M+H]+,200.07092,no correct formula
445,445,2-hydroxyhexanoic acid,NYHNVHGFPZAZGA-UHFFFAOYSA-N,C6H12O3,[M-H]+,131.08858,no correct formula
446,446,2-hydroxyhexanoic acid,NYHNVHGFPZAZGA-UHFFFAOYSA-N,C12H28O3Si2,[M+H]+,277.16425,0
447,447,2-hydroxyhexanoic acid,NYHNVHGFPZAZGA-UHFFFAOYSA-N,C12H28O3Si2,[M+H]+,277.16431,0
448,448,citramalic acid,XFTRTWQBIOMVPK-UHFFFAOYSA-N,C14H32O5Si3,[M+H]+,365.1619,1
449,449,citramalic acid,XFTRTWQBIOMVPK-UHFFFAOYSA-N,C14H32O5Si3,[M+H]+,365.16205,1
450,450,tartaric acid,FEWJPZIEWOKRBE-LWMBPPNESA-N,C16H38O6Si4,[M+H]+,439.18057,1
451,451,N-acetylornithine,JRLGPAXAGHMNOL-LURJTMIESA-N,C16H38N2O3Si3,[M+H]+,391.22549,2
452,452,spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,C25H66N4Si5,[M+H]+,563.41748,no correct formula
453,453,(water loss)spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,C25H64N4Si5,[M-H]+,543.40088,no correct formula
454,454,3-hydroxypropionic acid,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.08116,no correct formula
455,455,3-hydroxypropionic acid,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11755,0
456,456,3-hydroxypropionic acid,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11764,0
457,457,3-hydroxypropionic acid,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11766,0
458,458,(water loss)dihydroxymalonic acid,VUCKYGJSXHHQOJ-UHFFFAOYSA-N,C9H18O5Si2,[M+H]+,263.12347,no correct formula
459,459,pyrophosphate 4 TMS,XPPKVPWEQAFLFU-UHFFFAOYSA-J,O7P2C12H32Si4,[M+H]+,467.10767,no correct formula
460,460,(water loss)N-carbamoylaspartate 4 TMS,HLKXYZVTANABHZ-UHFFFAOYSA-N,C14H30N2O4Si3,[M+H]+,375.15796,1
461,461,(water loss)saccharic acid,UBYZGUWQNIEQMH-UHFFFAOYSA-N,C18H40K1O7Si4,[M+H]+,481.19025,no correct formula
462,462,(water loss)saccharic acid,UBYZGUWQNIEQMH-UHFFFAOYSA-N,C18H40K1O7Si4,[M+H]+,481.18967,no correct formula
463,463,saccharic acid,UBYZGUWQNIEQMH-UHFFFAOYSA-N,C24H58K1O8Si6,[M+H]+,643.28088,no correct formula
464,464,inosine 5'-monophosphate,AANLCWYVVNBGEE-IDIVVRGQSA-L,C25H51N4Na2O8P1Si5,[M+H]+,709.24774,no correct formula
465,465,3-hydroxypyridine,GRFNBEZIAWKNCO-UHFFFAOYSA-N,C8H13N1O1Si1,[M+H]+,168.08398,0
466,466,3-hydroxypyridine,GRFNBEZIAWKNCO-UHFFFAOYSA-N,C8H13N1O1Si1,[M+H]+,168.16742,no correct formula
467,467,3-hydroxypyridine,GRFNBEZIAWKNCO-UHFFFAOYSA-N,C8H13N1O1Si1,[M+H]+,168.08833,no correct formula
468,468,phosphate,AJPJDKMHJJGVTQ-UHFFFAOYSA-M,H26Na1O4P1C9Si3,[M+H]+,315.10303,no correct formula
469,469,(water loss)3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C10H22N2O2Si2,[M+H]+,259.12949,0
470,470,capric acid,GHVNFZFCNZKVNT-UHFFFAOYSA-N,C13H28O2Si1,[M+H]+,245.19325,0
471,471,capric acid,GHVNFZFCNZKVNT-UHFFFAOYSA-N,C13H28O2Si1,[M+H]+,245.19327,0
472,472,3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C10H24N2O3Si2,[M+H]+,277.13959,0
473,473,phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C9H14O1Si1,[M+H]+,167.08917,0
474,474,butyrolactam,HNJBEVLQSNELDL-UHFFFAOYSA-N,C7H15N1O1Si1,[M+H]+,158.09962,0
475,475,(water loss)2-aminobutyric acid,QWCKQJZIFLGMSD-VKHMYHEASA-N,C10H23N1O1Si2,[M+H]+,230.08148,no correct formula
476,476,2-aminobutyric acid,QWCKQJZIFLGMSD-VKHMYHEASA-N,C7H17N1O2Si1,[M+H]+,176.11049,0
477,477,2-aminobutyric acid,QWCKQJZIFLGMSD-VKHMYHEASA-N,C7H17N1O2Si1,[M+H]+,176.1104,0
478,478,2-ketobutyric acid,TYEYBOSBBBHJIV-UHFFFAOYSA-N,C8H17O3Si1N1,[M+H]+,204.10553,0
479,479,2-aminobutyric acid,QWCKQJZIFLGMSD-VKHMYHEASA-N,C10H25N1O2Si2,[M+H]+,248.1499,0
480,480,Nicotinic acid,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C9H13N1O2Si1,[M+H]+,196.07919,0
481,481,N-acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,C12H30N2O1Si2,[M+H]+,275.19727,0
482,482,tryptophol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,C13H19N1O1Si1,[M]+,233.12297,0
483,483,tryptophol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,C16H27N1O1Si2,[M]+,305.16275,2
484,484,cis-sinapinic acid,PCMORTLOPMLEFB-ONEGZZNKSA-N,C17H28O5Si2,[M+H]+,369.15436,0
485,485,cis-sinapinic acid,PCMORTLOPMLEFB-ONEGZZNKSA-N,C17H28O5Si2,[M+H]+,369.15454,0
486,486,cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,C9H21N1Si1,[M-H]+,170.13622,0
487,487,cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,C9H21N1Si1,[M-H]+,170.13644,0
488,488,2-hydroxyvaleric acid,JRHWHSJDIILJAT-UHFFFAOYSA-N,C11H26O3Si2,[M+H]+,263.15036,0
489,489,2-hydroxyvaleric acid,JRHWHSJDIILJAT-UHFFFAOYSA-N,C11H26O3Si2,[M+H]+,263.14948,0
490,490,2-hydroxyvaleric acid,JRHWHSJDIILJAT-UHFFFAOYSA-N,C11H26O3Si2,[M+H]+,263.14944,0
491,491,2-hydroxyvaleric acid,JRHWHSJDIILJAT-UHFFFAOYSA-N,C11H26O3Si2,[M+H]+,263.14944,0
492,492,acetaminophen (2 TMS),RZVAJINKPMORJF-UHFFFAOYSA-N,C14H25N1O2Si2,[M+H]+,296.14935,0
493,493,acetaminophen (2 TMS),RZVAJINKPMORJF-UHFFFAOYSA-N,C11H17N1O2Si1,[M+H]+,224.11012,0
494,494,(water loss)gulonolactone,SXZYCXMUPBBULW-SKNVOMKLSA-N,C15H32O5Si3,[M+H]+,377.1636,1
495,495,(water loss)gulonolactone,SXZYCXMUPBBULW-SKNVOMKLSA-N,C18H40O5Si4,[M+H]+,449.18396,no correct formula
496,496,N-acetylmannosamine,OVRNDRQMDRJTHS-ZTVVOAFPSA-N,C21H50N2O6Si4,[M+H]+,539.28162,5
497,497,(water loss)2-monopalmitin,BBNYCLAREVXOSG-UHFFFAOYSA-N,C22H44O3Si1,[M-H]+,383.29712,0
498,498,dimethylglycine,FFDGPVCHZBVARC-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.11089,0
499,499,deoxyglucose,PMMURAAUARKVCB-CERMHHMHSA-N,C7H15O5N1,[M+H]+,194.13618,no correct formula
500,500,(water loss)O-acetylserine,VZXPDPZARILFQX-BYPYZUCNSA-N,C8H15N1O3Si1,[M+H]+,202.08955,1
501,501,deoxyglucose,PMMURAAUARKVCB-CERMHHMHSA-N,C10H23O5Si1N1,[M+H]+,266.17563,no correct formula
502,502,O-acetylserine,VZXPDPZARILFQX-BYPYZUCNSA-N,C11H25N1O4Si2,[M+H]+,292.1394,0
503,503,1-monopalmitin,PVNIQBQSYATKKL-UHFFFAOYSA-N,C57H114O6Si2,[M-H]+,473.34827,no correct formula
504,504,(water loss)dihydroxyacetone phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,C9H21O5P1Si2,[M+H]+,297.08176,no correct formula
505,505,L-dithiothreitol,VHJLVAABSRFDPM-IMJSIDKUSA-N,C13H34O2S2Si3,[M+H]+,371.10016,no correct formula
506,506,dihydroxyacetone phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,C9H23O6P1Si2,[M+H]+,315.10214,no correct formula
507,507,dihydroxyacetone phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,C3H7O6P1,[M-H]+,169.05772,no correct formula
508,508,trans-3-hydroxy-L-proline,BJBUEDPLEOHJGE-IMJSIDKUSA-N,C11H25N1O3Si2,[M+H]+,276.14383,0
509,509,trans-3-hydroxy-L-proline,BJBUEDPLEOHJGE-IMJSIDKUSA-N,C14H33N1O3Si3,[M+H]+,348.18335,1
510,510,(water loss)dihydroxyacetone phosphate,GNGACRATGGDKBX-UHFFFAOYSA-N,C9H21O5P1Si2,[M]+,296.07431,no correct formula
511,511,allo-inositol,CDAISMWEOUEBRE-UHFFFAOYSA-N,C24H60O6Si6,[M+H]+,613.30573,no correct formula
512,512,9-phenanthrenol,DZKIUEHLEXLYKM-UHFFFAOYSA-N,C17H18O1Si1,[M+H]+,267.11899,2
513,513,4-hydroxybenzyl cyanide,AYKYOOPFBCOXSL-UHFFFAOYSA-N,C8H7N1O1,[M]+,133.04897,no correct formula
514,514,4-hydroxybenzyl cyanide,AYKYOOPFBCOXSL-UHFFFAOYSA-N,C11H15N1O1Si1,[M+H]+,206.09946,0
515,515,4-hydroxybenzyl cyanide,AYKYOOPFBCOXSL-UHFFFAOYSA-N,C11H15N1O1Si1,[M+H]+,206.09946,0
516,516,"(water loss)(1R,2S)-cis-1,2-dihydro-1,2-naphthalenediol",QPUHWUSUBHNZCG-VHSXEESVSA-N,C13H16O1Si1,[M+H]+,217.1042,0
517,517,"(1R,2S)-cis-1,2-dihydro-1,2-naphthalenediol",QPUHWUSUBHNZCG-VHSXEESVSA-N,C16H26O2Si2,[M+H]+,307.1543,1
518,518,"(1R,2S)-cis-1,2-dihydro-1,2-naphthalenediol",QPUHWUSUBHNZCG-VHSXEESVSA-N,C16H26O2Si2,[M+H]+,307.15436,1
519,519,hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C11H20N4O1Si2,[M+H]+,281.12494,0
520,520,hypoxanthine,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C8H12N4O1Si1,[M+H]+,209.08528,1
521,521,(water loss)L-gulonic acid Î³-lactone,SXZYCXMUPBBULW-SKNVOMKLSA-N,C15H32O5Si3,[M+H]+,377.16318,3
522,522,L-gulonic acid Î³-lactone,SXZYCXMUPBBULW-SKNVOMKLSA-N,C18H42O6Si4,[M+H]+,467.21252,6
523,523,spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,C19H51N3Si4,[M+H]+,434.3237,2
524,524,spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,C22H59N3Si5,[M+H]+,506.36325,8
525,525,(water loss)3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C7H14N2O2Si1,[M+H]+,187.16943,no correct formula
526,526,cyclohexanamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,C12H29N1Si2,[M]+,243.18295,0
527,527,(water loss)3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C10H22N2O2Si2,[M+H]+,259.12927,0
528,528,trans-4-hydroxy-L-proline,PMMYEEVYMWASQN-DMTCNVIQSA-N,C11H25N1O3Si2,[M+H]+,276.14468,0
529,529,trans-4-hydroxy-L-proline,PMMYEEVYMWASQN-DMTCNVIQSA-N,C11H25N1O3Si2,[M+H]+,276.14478,0
530,530,trans-4-hydroxy-L-proline,PMMYEEVYMWASQN-DMTCNVIQSA-N,C14H33N1O3Si3,[M+H]+,348.18424,1
531,531,3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C7H16N2O3Si1,[M+H]+,205.10049,0
532,532,3-ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C10H24N2O3Si2,[M+H]+,277.13983,0
533,533,DL-isocitric acid,ODBLHEXUDAPZAU-UHFFFAOYSA-N,C18H40O7Si4,[M+H]+,481.19235,5
534,534,(water loss)salicylaldehyde,SMQUZDBALVYZAC-UHFFFAOYSA-N,C7H4O1,[M-H]+,103.05741,no correct formula
535,535,"4',5,7-trihydroxyisoflavone",TZBJGXHYKVUXJN-UHFFFAOYSA-N,C24H34O5Si3,[M+H]+,487.17926,2
536,536,D-(-)-mannitol,FBPFZTCFMRRESA-KVTDHHQDSA-N,C18H46O6Si4,[M+H]+,471.14795,no correct formula
537,537,synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,C15H29N1O2Si2,[M+H]+,312.18112,0
538,538,synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,C15H29N1O2Si2,[M+H]+,312.18115,0
539,539,synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,C18H37N1O2Si3,[M-H]+,382.20511,1
540,540,synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,C18H37N1O2Si3,[M+H]+,384.22043,1
541,541,6-methylmercaptopurine,UIJIQXGRFSPYQW-UHFFFAOYSA-N,C9H14N4S1Si1,[M+H]+,239.07819,1
542,542,(water loss)benzoylformic acid,FAQJJMHZNSSFSM-UHFFFAOYSA-N,C11H12O2Si1,[M]+,204.00763,no correct formula
543,543,benzoylformic acid,FAQJJMHZNSSFSM-UHFFFAOYSA-N,C11H14O3Si1,[M-H]+,221.08478,no correct formula
544,544,fumaric acid,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C10H20O4Si2,[M+H]+,261.09747,1
545,545,(water loss)fumaric acid,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C4H2O3,[M-H]+,97.10126,no correct formula
546,546,9-hydroxyfluorene,AFMVESZOYKHDBJ-UHFFFAOYSA-N,C16H18O1Si1,[M+H]+,255.11993,0
547,547,D-(+)-panthenol,SNPLKNRPJHDVJA-UHFFFAOYSA-N,C18H43N1O4Si3,[M+H]+,422.25763,2
548,548,aniline-o-sulfonic acid,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,C6H7N1O3S1,[M-H]+,172.15186,nan
549,549,3-(1-pyrazolyl)-L-alanine,PIGOPELHGLPKLL-YFKPBYRVSA-N,C12H25N3O2Si2,[M+H]+,300.15637,0
550,550,(water loss)N-acetyl-D-tryptophan,DZTHIGRZJZPRDV-GFCCVEGCSA-N,C16H20N2O2Si1,[M]+,300.12085,no correct formula
551,551,aniline-o-sulfonic acid,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,C12H23N1O3S1Si2,[M+H]+,318.10107,0
552,552,N-acetyl-D-tryptophan,DZTHIGRZJZPRDV-GFCCVEGCSA-N,C19H30N2O3Si2,[M+H]+,391.18695,0
553,553,N-acetyl-D-tryptophan,DZTHIGRZJZPRDV-GFCCVEGCSA-N,C16H22N2O3Si1,[M+H]+,319.14734,1
554,554,(water loss)D-(+)-Pantothenic acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C9H15N1O4,[M+H]+,202.1261,no correct formula
555,555,dehydroascorbic acid,SBJKKFFYIZUCET-JLAZNSOCSA-N,C9H14O6Si1,[M+H]+,247.1174,no correct formula
556,556,methyl jasmonate,GEWDNTWNSAZUDX-WQMVXFAESA-N,C14H23O3N1,[M+H]+,254.17512,0
557,557,D-(+)-Pantothenic acid,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C18H41N1O5Si3,[M+H]+,436.237,1
558,558,"N,N-dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.11047,0
559,559,"N,N-dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.11122,0
560,560,(water loss)N-acetyl-L-cysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,C5H7N1O2S1,[M-H]+,144.06572,no correct formula
561,561,(water loss)N-acetyl-L-cysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,C5H7N1O2S1,[M]+,145.08585,no correct formula
562,562,2-hydroxyphenylacetic acid,CCVYRRGZDBSHFU-UHFFFAOYSA-N,C14H24O3Si2,[M]+,296.12601,5
563,563,"2,3-dihydroxybiphenyl",YKOQAAJBYBTSBS-UHFFFAOYSA-N,C18H26O2Si2,[M+H]+,331.15399,1
564,564,(-)-epicatechin,PFTAWBLQPZVEMU-UKRRQHHQSA-N,C30H54O6Si5,[M+H]+,651.2818,no correct formula
565,565,2-(4-hydroxyphenyl)ethanol,YCCILVSKPBXVIP-UHFFFAOYSA-N,C14H26O2Si2,[M]+,282.14685,1
566,566,2-amino-3-methoxybenzoic acid,SXOPCLUOUFQBJV-UHFFFAOYSA-N,C11H17N1O3Si1,[M]+,239.09764,1
567,567,2-amino-3-methoxybenzoic acid,SXOPCLUOUFQBJV-UHFFFAOYSA-N,C14H25N1O3Si2,[M+H]+,312.14484,0
568,568,3-chloro-L-tyrosine,ACWBBAGYTKWBCD-ZETCQYMHSA-N,C18H34Cl1N1O3Si3,[M+H]+,432.16138,no correct formula
569,569,(water loss)3-chloro-L-tyrosine,ACWBBAGYTKWBCD-ZETCQYMHSA-N,C18H32Cl1N1O2Si3,[M+H]+,414.20639,no correct formula
570,570,(water loss)3-chloro-L-tyrosine,ACWBBAGYTKWBCD-ZETCQYMHSA-N,C15H24Cl1N1O2Si2,[M+H]+,342.16693,no correct formula
571,571,methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,C17H30N2O1Si2,[M+H]+,335.19708,0
572,572,methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,C20H38N2O1Si3,[M+H]+,407.23669,3
573,573,uridine 5â€²-monophosphate,DJJCXFVJDGTHFX-XVFCMESISA-N,C21H45N2O9P1Si4,[M+H]+,613.20215,no correct formula
574,574,(water loss)biuret,OHJMTUPIZMNBFR-UHFFFAOYSA-N,C8H19N3O1Si2,[M+H]+,230.08136,no correct formula
575,575,(water loss)2-hydroxychalcone,UDOOPSJCRMKSGL-ZHACJKMWSA-N,C16H13O1N1,[M+H]+,236.11356,no correct formula
576,576,orcinol,OIPPWFOQEKKFEE-UHFFFAOYSA-N,C13H24O2Si2,[M]+,268.13132,0
577,577,orcinol,OIPPWFOQEKKFEE-UHFFFAOYSA-N,C13H24O2Si2,[M+H]+,269.13895,0
578,578,(water loss)fluorene,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,C13H8,[M+H]+,149.0452,no correct formula
579,579,dopamine,CTENFNNZBMHDDG-UHFFFAOYSA-N,C20H44Cl1N1O2Si4,[M+H]+,442.245,no correct formula
580,580,dopamine,CTENFNNZBMHDDG-UHFFFAOYSA-N,C20H44Cl1N1O2Si4,[M+H]+,442.24512,no correct formula
581,581,dopamine,CTENFNNZBMHDDG-UHFFFAOYSA-N,C20H44Cl1N1O2Si4,[M+H]+,442.24512,no correct formula
582,582,arachidic acid,VKOBVWXKNCXXDE-UHFFFAOYSA-N,C23H48O2Si1,[M-H]+,383.3345,0
583,583,(water loss)methyl-Î²-D-galactopyranoside,HOVAGTYPODGVJG-TVPFVARWSA-N,C7H12O5,[M+H]+,177.05746,no correct formula
584,584,L-alanine-D4,QNAYBMKLOCPYGJ-IALWIIEESA-N,C9H23N1O2Si2,[M+H]+,238.15869,no correct formula
585,585,L-alanine-D4,QNAYBMKLOCPYGJ-IALWIIEESA-N,C9H23N1O2Si2,[M+H]+,238.15871,no correct formula
586,586,L-alanine-D4,QNAYBMKLOCPYGJ-IALWIIEESA-N,C9H23N1O2Si2,[M+H]+,238.15865,no correct formula
587,587,DL-3-aminoisobutyric acid,QCHPKSFMDHPSNR-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14911,0
588,588,DL-3-aminoisobutyric acid,QCHPKSFMDHPSNR-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14897,0
589,589,DL-3-aminoisobutyric acid,QCHPKSFMDHPSNR-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14893,0
590,590,DL-3-aminoisobutyric acid,QCHPKSFMDHPSNR-UHFFFAOYSA-N,C13H33N1O2Si3,[M+H]+,320.1882,4
591,591,(water loss)N-acetyl-L-glutamic acid,RFMMMVDNIPUKGG-YFKPBYRVSA-N,C10H17N1O4Si1,[M+H]+,244.09929,0
592,592,phenylphosphoric acid,CMPQUABWPXYYSH-UHFFFAOYSA-N,C12H23O4P1Si2,[M+H]+,319.09375,8
593,593,N-acetyl-L-glutamic acid,RFMMMVDNIPUKGG-YFKPBYRVSA-N,C13H27N1O5Si2,[M+H]+,334.14923,0
594,594,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,C20H24O4Si2,[M+H]+,385.12766,no correct formula
595,595,acetoacetate,WDJHALXBUFZDSR-UHFFFAOYSA-M,C7H13O3Si1,[M-H]+,172.15122,nan
596,596,(water loss)DL-4-hydroxy-3-methoxymandelic acid,CGQCWMIAEPEHNQ-UHFFFAOYSA-N,C12H16O4Si1,[M+H]+,253.12408,no correct formula
597,597,3-(4-hydroxyphenyl)propionic acid,NMHMNPHRMNGLLB-UHFFFAOYSA-N,C15H26O3Si2,[M+H]+,311.14798,1
598,598,DL-4-hydroxy-3-methoxymandelic acid,CGQCWMIAEPEHNQ-UHFFFAOYSA-N,C18H34O5Si3,[M+H]+,415.17673,7
599,599,lactamide,SXQFCVDSOLSHOQ-UHFFFAOYSA-N,C6H15N1O2Si1,[M+H]+,162.09412,0
600,600,3-hydroxybenzyl alcohol,OKVJCVWFVRATSG-UHFFFAOYSA-N,C13H24O2Si2,[M]+,268.13007,2
601,601,4-hydroxy-3-methoxybenzoic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,C14H24O4Si2,[M+H]+,313.12759,0
